pair,independent_seeds,R_F,sigma_F,R_A,sigma_A,z,pass_abs_z_le_3,all_individual_abs_z_le_3,max_individual_abs_z
g14_to_g15,5,0.43726966941501505,0.000992582682372703,0.43760568038929043,0.0008378860535985604,-0.2586787355177139,True,True,0.5439815202375519
g20_to_g22,5,0.4594500248864391,0.0008047236675817697,0.45935709297392846,0.0007803925064117351,0.08290249825474,True,True,0.9953251491714663
