case,independent_seeds,R_F,sigma_F,R_A,sigma_A,z,pass_abs_z_le_3,all_individual_abs_z_le_3,max_individual_abs_z
biased,5,52.24037665806449,0.1215560695195868,52.41128509468184,0.3575760051434992,-0.452530857927547,True,True,0.6316732492316387
unbiased,5,52.24037665806449,0.1215560695195868,52.155929721525666,0.22835609663993933,0.3264361105528962,True,True,1.026018541362162
