density_case,inner_density_ratio,outer_density_ratio,pair,seed,mode,source_cell,response_cell,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,average,relative_error,sigma,tally_sha256,stdout_sha256
low_inner_high_outer,0.5,2.0,g20_to_g22,3,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_3/adjoint/inp,a0d45dbfe6bdd56282862052caeacec91cfdb26ab93d2117376fe2b4ac82fa28,0,0.18823,0.0038194,0.0007189256620000001,c1bb3114101df9142b19b2aa9daf4fb5ed4a29caf5b5957e09a3aa9099b0bd46,7fb0919dbda8ef71e03a2c900bc9946bd18c7f2bcac562e08a207d86b6423111
low_inner_high_outer,0.5,2.0,g20_to_g22,5,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_5/forward/inp,6f052f8d2b86aa879b713286f9b5c41e4f4bec3da766609e8ae023c6c57d2a64,0,0.18766,0.0019027,0.000357060682,32de7e3fe96b7b7d98e88d916c647b09d8c4958f3a53a441f960afe7f89a4018,667f85effbe5faee7e2ce53414c9e3e08ea9f52d51bd6c4d546ed8765189ec7d
low_inner_high_outer,0.5,2.0,g20_to_g22,5,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_5/adjoint/inp,ff65d532e2ca54771a44e9f6abbd7a1431c5df67d327ebdcb91b98919492e79f,0,0.18665,0.0038213,0.0007132456450000001,2101755c9f4f18edabc5c4d0cf156c4fc1a821e5b49e8ffa45d2a0e4893aa5ac,e47eab8d9a7705bda8cf29d93fad12e1f10d9290e7cde9ee6a13e2334fd967ac
low_inner_high_outer,0.5,2.0,g20_to_g22,7,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_7/forward/inp,238f0b56cb4f0154b1a424930aad58a1ee795f4929ed5b160c3e44febfe81146,0,0.18734,0.0019057,0.000357013838,8d47da78a7a2198449316b583896f260c14adcbdbb44312d7f3a6312f28d4bf8,a9aed7eb1515bb767fe37c9d453e079f1e82840c795aade54e58f1eac4062876
low_inner_high_outer,0.5,2.0,g20_to_g22,7,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_7/adjoint/inp,06624c7ebd5ae2dce26124fe5adc07c1e3c93a015dcc7f1d1b737adfa865e948,0,0.18733,0.0038074,0.000713240242,be4b69cf723466870b4ea85b1a6e7e6c574029ccbd336e1b5828a05e7379622a,aaea6c8eac3a727ea0af0482f1017f98c5928cf942bbbea297c64edc8d201ead
low_inner_high_outer,0.5,2.0,g20_to_g22,9,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_9/forward/inp,7cbb22089e9d4d2e95d5885e48074a6da8a2287454d3a4f351b30da91d50bc61,0,0.18623,0.0019087,0.000355457201,d74629e9223f359f3566f818a33d2b0340cac9b44b6896c8c100078da4386994,7ff4b9bbbd0656341d3c6606ab7ac2122d685ed43bdcb11ad566b3dff64cac8a
low_inner_high_outer,0.5,2.0,g20_to_g22,9,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_9/adjoint/inp,3a686cffbc6c03de3951a672acb793bf823e1314568485c3785db37331ff9dfa,0,0.18637,0.0038187,0.000711691119,b0eb33aaeba998c92b5780c32adc47ae042c710ca3660b939358f1e59b95a1f4,551ae90634c9e00c7b8b2c00400c49b0e174fa9a05727df96bcc70133ee0e192
high_inner_low_outer,2.0,0.5,g14_to_g15,1,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_1/forward/inp,4c93ff2913d529bf566f87ce577c475109566cc60183c74e0c10745a2e10064e,0,0.093359,0.0039032,0.0003643988488,e1ce0c3c5f324a7956873b719327353e7984e603f93d44f2e44b764970ac2dc8,f9c734e9d53614aa1888adc4d9faf7d1449d64eae24ee9b64bd5b990768365d0
high_inner_low_outer,2.0,0.5,g14_to_g15,1,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_1/adjoint/inp,80f23091c0cfe40f219779218236f5aec0a1c28e094933401b1e9f6dbee6c405,0,0.093133,0.0035016,0.00032611451279999996,ec6d9d8e5d683e58e03caf76ea80d8c579f662dcb6e590a271ab7c4c7d3792a5,2b493a322cca7df8fc76271de03b77f0af13cce0c487edd6c1e04b658dc30cfa
high_inner_low_outer,2.0,0.5,g14_to_g15,3,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_3/forward/inp,ea37b3d8afe6687b54b03c9ecd6b41cfd18540cf8a61dafb42da833ce4b8c53e,0,0.093221,0.0038976,0.0003633381696,cd4331e16305e271e7b827c13c3d0d971e9ec033f51edf80cbda4ccd7f83e4c3,43fad3f894f5897195c19cee40f5227adb1f343b35102a9ddfc390985a39e213
high_inner_low_outer,2.0,0.5,g14_to_g15,3,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_3/adjoint/inp,d32a6cb69acb69a56b6eb28d8a7d8aefa4b77abb8ee6232a915931375c1da40f,0,0.092927,0.0035044,0.00032565337879999996,10b6aa57cb321cfae6fb949cfb9f76a15697c44c133cf6ce72c0f6bfcbd01358,db17a744c03280a35f53dff8731cbabfe52c2e17e7ed4e7b6ae4154aef039ab4
high_inner_low_outer,2.0,0.5,g14_to_g15,5,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_5/forward/inp,a0ba1f4d2f1b1881a238aa60297f56115e378a88f40af5eaef8d18f4c9672739,0,0.094316,0.0038832,0.00036624789119999997,bbadc8f12b82c9c7c038d1d496aaf8131fed945a204bcb8642eb081813fa6e43,a8a474e82dc1eccc5d0eb4f72d46d2a0dd7dcc24e5632b8f68dd81b7a7ecad7f
high_inner_low_outer,2.0,0.5,g14_to_g15,5,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_5/adjoint/inp,daecda48bb08a6494c5b8d0ad600309769eb8e1f3ff27e71b781e04116765a36,0,0.093762,0.0034955,0.000327745071,902366011d61d652fe9a53cdc3d95b516376cdc6b241bb40d7374e1fee2e4322,166f6b6c5282089ce1d31c1a2b344afd388e5bd6cb58efc5ed763c479c2c12a6
high_inner_low_outer,2.0,0.5,g14_to_g15,7,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_7/forward/inp,c37b96ddb239aa6e1c95d22efbb2c0b527545db2904e4318f721b99093738492,0,0.093144,0.0039103,0.00036422098320000005,0f96b6d4270bcf8de5352375f82b6aadb89b102c6f0ae081af194598e1da6f6f,9abc63c7af7213624c171f43661913ffa9b8f78ee61d9e2308400bfde4478de8
