group,expected_total_kernel,runtime_kernel,kernel_difference,expected_probability,runtime_probability,probability_difference
1,0.0169153097652,0.0169153097652,0.0,0.0235007751167829,0.0235007751167829,0.0
2,0.0017192539904400002,0.0017192539904400002,0.0,0.0023885936443851074,0.0023885936443851074,0.0
3,0.013235577732000002,0.013235577732000002,0.0,0.01838845047108446,0.01838845047108446,0.0
4,0.038075105264,0.038075105264,0.0,0.052898498388599925,0.052898498388599925,0.0
5,0.036523781812,0.036523781812,0.0,0.0507432139696384,0.0507432139696384,0.0
6,0.170298562364,0.170298562364,0.0,0.23659916799522307,0.23659916799522307,0.0
7,0.44300908372000003,0.44300908372000003,0.0,0.6154813004142862,0.6154813004142862,0.0
