density_case,inner_density_ratio,outer_density_ratio,pair,seed,mode,source_cell,response_cell,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,average,relative_error,sigma,tally_sha256,stdout_sha256
low_inner_high_outer,0.5,2.0,g20_to_g22,3,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_3/adjoint/inp,dad5f1850e5fa47471914e93505e164bc04ce2e532c658a03d8dfc74cc0646aa,0,0.18673,0.0085556,0.001597587188,68817ceb0a4630d12db539679f42f6cacd8257443a56768c5dd1b78ed03a086b,a07ccb02b1b8a7d0027c3be786cabdc512393972c284be845dfb9d8da4446355
low_inner_high_outer,0.5,2.0,g20_to_g22,5,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_5/forward/inp,d7ac7fe92a58e5439442138e0e57af7ab8b5fccffa567f0461cf079892eaad3f,0,0.18914,0.0042518,0.000804185452,6a490a1465dfa50ba34dc973795fc48417f4b5493149256e0a736e92cc97f512,728fc6b0662a2678d8986d0731e16c108e6451d87b2aa0ef04ef6e3d7dca14f3
low_inner_high_outer,0.5,2.0,g20_to_g22,5,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_5/adjoint/inp,53307a6491e597d86d5ef526b69bf65d1243c4275838a44efac103bafa9e77af,0,0.18788,0.0085037,0.0015976751559999998,4ba2e10c49ea0e6648d6f5b2cc26175aa37961173898adfaf074e6676596d33c,4c9e9dd06cd4b73aed1fbcdd424aaf3cd1cd2816e6cdba7715b76ecbc3707ac3
low_inner_high_outer,0.5,2.0,g20_to_g22,7,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_7/forward/inp,3a6a9e6d83a45b5b3101f5d9f901cb16313d73bdb398e891c13f67e4168aa70e,0,0.18775,0.0042695,0.0008015986249999999,03e6f7c2a0a72b35ea53e7924f6bae53d9e519656bf6a22d78251afcae3701f0,76725a6c663e5c794a87a5e5634e00569bd4ba79f2b7ea8e24274d7f7bb9c08f
low_inner_high_outer,0.5,2.0,g20_to_g22,7,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_7/adjoint/inp,86119b1d7fa6fc55383394fba8523bad15c46f778f3fdda5622e84c1f5c225c8,0,0.18546,0.0085461,0.001584959706,5ba79adf8594d874f62b90184d879746a2ec60fa1e08045ed647f49a9b3d0ef1,384b5cb5a66899da134615cbb5263d66d854568e9ffa427e2e7b55b1411028f5
low_inner_high_outer,0.5,2.0,g20_to_g22,9,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_9/forward/inp,3cb904c327a25ddb42d7d61efd9ce8863a71a88c2fcd05be69fea981867e8d78,0,0.18562,0.0042835,0.00079510327,5bb2c83aaf364e1f5fd03472aebf7b33cf98f96a7df6872f3b50c772e2a0ee79,947f9bd0d73763224da76c5d68c63271f336563e648341efc13d42b9b116c6bc
low_inner_high_outer,0.5,2.0,g20_to_g22,9,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_9/adjoint/inp,3a5b277537a8bd63b294801dc130b145e55e7f20fb36e6d46dc192a9269127f0,0,0.18591,0.0084947,0.0015792496770000001,ce436953018762f4b559714fdeb636e40f001d4591c0c403bc8b5f16d9c76ada,59c67a5e1bc0d3445e95852274b0ae99320274f014b7a78f07115d07d648deaf
high_inner_low_outer,2.0,0.5,g14_to_g15,1,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_1/forward/inp,9b62f10252be31681316667842b8dedb1f764919c9101a5e5b33ef6df71b052f,0,0.093219,0.0087323,0.0008140162736999999,1aeb28255fe3c7b3c3af7ae64e3fb93b735bd8910f08ce2c602bd51124356a50,b22a6157c2a50938fcd7c1ebc8817139ac850dbcc2ddfb3d8f32915b6baaa578
high_inner_low_outer,2.0,0.5,g14_to_g15,1,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_1/adjoint/inp,a267b8edd2dfe1181fb83bb813fbbc0c0a8997bea514472b17893d6ccbd6ac5f,0,0.093009,0.0078411,0.0007292928699,19b5672b54f4fa9926f744e1998d41835ec1391ace5c9db6d2caa76872759045,7f2f363bf08a0e7e629faa5ce183f93bf9a09d96d3b97f499569fc0a8df72034
high_inner_low_outer,2.0,0.5,g14_to_g15,3,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_3/forward/inp,17c9b0265ec2167b44dfba8fc9914dcc4fb68ca7196608eeec441bfdfe2280b2,0,0.093115,0.0087351,0.0008133688365000001,b53689a3ba300fb5f9b4b926b56dff172952c425a3a308d1d0567362b6454372,d13330a33b34de32dde825a7264b025e64af0e88f67f815055155ce69467b458
high_inner_low_outer,2.0,0.5,g14_to_g15,3,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_3/adjoint/inp,ed3850d9a9937897fde9245d0307460fb64ffbd608a39fe7dfb19ff9cf7e4ec3,0,0.09317,0.0078083,0.000727499311,14a6a8ee0003883e0a373ffa1bc9a91e7ba37e06bd57a7639923f93e0406a29f,16f7eceb45ada70b02e34175c63af71228ff8241d53fe87767d1bff885e37dae
high_inner_low_outer,2.0,0.5,g14_to_g15,5,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_5/forward/inp,520226788efd65c332786137fa2c5c277dfef836625526f1259234c011457cfe,0,0.093726,0.0087126,0.0008165971476,bb87e8f3d764d6bd658fb441dcc60e58fcc2b9bd5b1df8345a6e5cdf696bbaff,9c238f88660f577e8099b4d317250a4c92b3813dfedabd5fbe9e9d4ad45dd079
high_inner_low_outer,2.0,0.5,g14_to_g15,5,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_5/adjoint/inp,560fef568c3da921c363dab89efdf2d00d7f86e7443c2c7ed9e39506eef2ef72,0,0.093686,0.0077885,0.0007296734110000001,8253fb4d511984be80f933f888a754c12d99731182b0ed0a479e26e220d6ccc5,6a908a6f809ce00ac51a367809a54de572b1c30d815461ef8618984afc451251
high_inner_low_outer,2.0,0.5,g14_to_g15,7,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_7/forward/inp,fee0811b33f5b16b41c4ce41b3b0fcf22c3158523e1bd715aaf193a60ca8285e,0,0.092842,0.0087498,0.0008123489316,499fb774b4f64b178bb72deee8c438fc03a244369bda80061b60f805f9730f17,0372a1edf96da368422e83ad83b321c6367af265a8b1efbd7e9de89e63971195
