density_case,pair,independent_seeds,R_F,sigma_F,R_A,sigma_A,delta,sigma_delta,z,pass_abs_z_le_3,all_individual_abs_z_le_3,max_individual_abs_z
high_inner_low_outer,g14_to_g15,5,0.09362424895565874,0.0003648014338029236,0.09323483938331675,0.00032573934488752774,0.0003894095723419866,0.0004890666691898198,0.7962300374856385,True,True,1.565248257235802
high_inner_low_outer,g20_to_g22,5,0.08465595082391088,0.00034255795065245233,0.08543566172398726,0.00027361743405070714,-0.0007797109000763774,0.00043842040300572354,-1.7784548682744548,True,False,4.00713903254372
low_inner_high_outer,g14_to_g15,5,0.1915250670037153,0.00042618002333513267,0.19120109708346414,0.000701281891583088,0.00032396992025116034,0.000820625190785835,0.39478427409829453,True,True,1.1322532867301702
low_inner_high_outer,g20_to_g22,5,0.18766150737476,0.00035783607196879534,0.18668778706019684,0.0007119469519982266,0.0009737203145631645,0.0007968156103275224,1.2220146065699282,True,True,1.289315982458831
