pair_index,mode,seed,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,source_number,average,relative_error,sigma,finite_positive,tally_sha256,stdout_sha256
1,forward,101,6,3.8e-07,1,5.68,7,pair_1/forward/inp,19a2f7679bd8c134dcc8f5a87728512a32fe755fa6a9cee7063f5db688955b96,0,20000,0.25084,0.023386,0.00586614424,True,76ee37385abfbf9c7c2d1e5d6f7eaee053bd636fd1c729775b261156a0fca799,62490be4a571fecf23d052b9d081ace22dcb34eba4118ea44ffc29b1e1513224
1,adjoint,103,1,5.68,6,3.8e-07,2,pair_1/adjoint/inp,a374f7076dc63b8c21c7b8dc456e8fd5b2f1c32fa6182661abc610e8dba922e7,0,20000,0.24456,0.048151,0.01177580856,True,be9a60ea289860c2e176ec83f62ab059132dcd1376719f3ba10ea0730cf82077,1b5e78aca7b52ca36334f7bdf45ece5ee240a33e6c1dca472ef869191b82e117
