density_case,pair,independent_seeds,R_F,sigma_F,R_A,sigma_A,delta,sigma_delta,z,pass_abs_z_le_3,all_individual_abs_z_le_3,max_individual_abs_z
high_inner_low_outer,g14_to_g15,5,0.09356629611404528,0.0001630542555602325,0.09332423988879192,0.00014602098273391994,0.000242056225253362,0.00021888082980215824,1.1058813395040192,True,True,1.1272035136965965
high_inner_low_outer,g20_to_g22,5,0.08514626036132004,0.0001536351791194481,0.0853081493026827,0.000122284608077219,-0.00016188894136265342,0.0001963601121298925,-0.8244492203974891,True,True,1.9103562358591466
low_inner_high_outer,g14_to_g15,5,0.1913315345767771,0.00019028002643638748,0.19118468188706753,0.0003137736439987533,0.0001468526897095701,0.0003669610171787852,0.4001860765445359,True,True,1.1733982000496523
low_inner_high_outer,g20_to_g22,5,0.18708246447498011,0.00015939533965656524,0.18721360365382517,0.00031958415977396276,-0.00013113917884505222,0.0003571287015666223,-0.3672042551320626,True,True,1.3458415154599415
