density_case,pair,independent_seeds,R_F,sigma_F,R_A,sigma_A,delta,sigma_delta,z,pass_abs_z_le_3,all_individual_abs_z_le_3,max_individual_abs_z
high_inner_low_outer,g14_to_g15,1,0.093003,0.005211981123,0.095374,0.0047646942920000004,-0.002370999999999998,0.007061661201355225,-0.3357566912931156,True,True,0.3357566912931156
high_inner_low_outer,g20_to_g22,1,0.08313,0.0049694282699999995,0.080977,0.0036931990159999994,0.002153000000000002,0.006191521323750613,0.3477336000993998,True,True,0.34773360009939974
low_inner_high_outer,g14_to_g15,1,0.1936,0.0059849504,0.18144,0.0093505104,0.012160000000000004,0.011101877139969093,1.095310265704657,True,True,1.095310265704657
low_inner_high_outer,g20_to_g22,1,0.18031,0.00496429492,0.17403,0.00960175719,0.006280000000000008,0.010809161169510542,0.5809886541162914,True,True,0.5809886541162914
