group,sigma_f,nubar_first,nubar_second,kernel_first,kernel_second,prob_first_normalized,prob_second_expected,prob_runtime_exact,runtime_minus_expected,chi
1,0.00721206,2.34389,2.34542,0.0169042753134,0.0169153097652,0.023486172175488904,0.0235007751167829,0.023485444734195268,-1.5330382587632613e-05,0.58791
2,0.000819301,2.08517,2.09844,0.0017083818661700002,0.0017192539904400002,0.002373562303410069,0.0023885936443851074,0.0023734887866522247,-1.5104857732882709e-05,0.41176
3,0.0064532,2.05095,2.05101,0.013235190539999999,0.013235577732000002,0.01838848208721709,0.01838845047108446,0.018387912537564742,-5.379335197182311e-07,0.00033906
4,0.0185648,2.05093,2.05093,0.038075105264,0.038075105264,0.052900136873735494,0.052898498388599925,0.052898498388599925,0.0,1.1761e-07
5,0.0178084,2.05093,2.05093,0.036523781812,0.036523781812,0.05074478569670727,0.0507432139696384,0.0507432139696384,0.0,0.0
6,0.0830348,2.05093,2.05093,0.170298562364,0.170298562364,0.23660649644936935,0.23659916799522307,0.23659916799522307,0.0,0.0
7,0.216004,2.05093,2.05093,0.44300908372000003,0.44300908372000003,0.6155003644140719,0.6154813004142862,0.6155122735881264,3.097317384026521e-05,0.0
