group_a,energy_a_MeV,group_b,energy_b_MeV,sigma_a_to_b,sigma_b_to_a,absolute_difference,asymmetry,geometric_strength
4,11.0,13,0.6615,0.05807247,0.0,0.05807247,1.0,0.0
4,11.0,14,0.4015,0.033592449999999996,0.0,0.033592449999999996,1.0,0.0
4,11.0,15,0.2435,0.019834246,0.0,0.019834246,1.0,0.0
4,11.0,16,0.1258,0.019274521,0.0,0.019274521,1.0,0.0
4,11.0,17,0.0462,0.007053941100000001,0.0,0.007053941100000001,1.0,0.0
4,11.0,18,0.01696,0.00257890054,0.0,0.00257890054,1.0,0.0
4,11.0,19,0.006235,0.000947774,0.0,0.000947774,1.0,0.0
4,11.0,20,0.0022925,0.000347426,0.0,0.000347426,1.0,0.0
4,11.0,21,0.0008445,0.0001282954,0.0,0.0001282954,1.0,0.0
4,11.0,22,0.0003105,4.7146e-05,0.0,4.7146e-05,1.0,0.0
4,11.0,23,0.0001142,1.777286e-05,0.0,1.777286e-05,1.0,0.0
4,11.0,24,4.2e-05,9.35e-06,0.0,9.35e-06,1.0,0.0
5,8.895,6,6.93,0.8064899999999999,0.0,0.8064899999999999,1.0,0.0
5,8.895,7,4.875,0.587012022,0.0,0.587012022,1.0,0.0
5,8.895,8,3.2725,0.2196354,0.0,0.2196354,1.0,0.0
5,8.895,9,2.5485,0.20511200000000002,0.0,0.20511200000000002,1.0,0.0
5,8.895,10,1.985,0.1880241,0.0,0.1880241,1.0,0.0
5,8.895,11,1.5455,0.152627,0.0,0.152627,1.0,0.0
5,8.895,12,1.088,0.175571,0.0,0.175571,1.0,0.0
5,8.895,13,0.6615,0.09121014,0.0,0.09121014,1.0,0.0
5,8.895,14,0.4015,0.05452949,0.0,0.05452949,1.0,0.0
5,8.895,15,0.2435,0.0313499,0.0,0.0313499,1.0,0.0
5,8.895,16,0.1258,0.029776992999999998,0.0,0.029776992999999998,1.0,0.0
5,8.895,17,0.0462,0.01084903208,0.0,0.01084903208,1.0,0.0
5,8.895,18,0.01696,0.00397262,0.0,0.00397262,1.0,0.0
5,8.895,19,0.006235,0.00146201,0.0,0.00146201,1.0,0.0
5,8.895,20,0.0022925,0.000535922,0.0,0.000535922,1.0,0.0
5,8.895,21,0.0008445,0.000197901,0.0,0.000197901,1.0,0.0
5,8.895,22,0.0003105,7.27246e-05,0.0,7.27246e-05,1.0,0.0
5,8.895,23,0.0001142,2.67586e-05,0.0,2.67586e-05,1.0,0.0
5,8.895,24,4.2e-05,1.518082e-05,0.0,1.518082e-05,1.0,0.0
6,6.93,7,4.875,1.331161,0.0,1.331161,1.0,0.0
6,6.93,8,3.2725,0.31492,0.0,0.31492,1.0,0.0
6,6.93,9,2.5485,0.24564,0.0,0.24564,1.0,0.0
6,6.93,10,1.985,0.1923484,0.0,0.1923484,1.0,0.0
6,6.93,11,1.5455,0.15161764,0.0,0.15161764,1.0,0.0
6,6.93,12,1.088,0.23895349999999999,0.0,0.23895349999999999,1.0,0.0
6,6.93,13,0.6615,0.153975,0.0,0.153975,1.0,0.0
6,6.93,14,0.4015,0.0898545,0.0,0.0898545,1.0,0.0
6,6.93,15,0.2435,0.05185217,0.0,0.05185217,1.0,0.0
6,6.93,16,0.1258,0.0479146,0.0,0.0479146,1.0,0.0
6,6.93,17,0.0462,0.017041645,0.0,0.017041645,1.0,0.0
6,6.93,18,0.01696,0.0062063561,0.0,0.0062063561,1.0,0.0
6,6.93,19,0.006235,0.0022792499699999997,0.0,0.0022792499699999997,1.0,0.0
6,6.93,20,0.0022925,0.000835012,0.0,0.000835012,1.0,0.0
6,6.93,21,0.0008445,0.000308346,0.0,0.000308346,1.0,0.0
6,6.93,22,0.0003105,0.0001133106,0.0,0.0001133106,1.0,0.0
6,6.93,23,0.0001142,4.1692e-05,0.0,4.1692e-05,1.0,0.0
6,6.93,24,4.2e-05,2.37822e-05,0.0,2.37822e-05,1.0,0.0
7,4.875,8,3.2725,1.2122410000000001,0.0,1.2122410000000001,1.0,0.0
7,4.875,9,2.5485,0.5056335207,0.0,0.5056335207,1.0,0.0
7,4.875,10,1.985,0.396072,0.0,0.396072,1.0,0.0
7,4.875,11,1.5455,0.309566,0.0,0.309566,1.0,0.0
7,4.875,12,1.088,0.427432,0.0,0.427432,1.0,0.0
7,4.875,13,0.6615,0.261238,0.0,0.261238,1.0,0.0
7,4.875,14,0.4015,0.159615,0.0,0.159615,1.0,0.0
7,4.875,15,0.2435,0.0965216,0.0,0.0965216,1.0,0.0
7,4.875,16,0.1258,0.0944886,0.0,0.0944886,1.0,0.0
7,4.875,17,0.0462,0.034762,0.0,0.034762,1.0,0.0
7,4.875,18,0.01696,0.01273782,0.0,0.01273782,1.0,0.0
7,4.875,19,0.006235,0.00468768,0.0,0.00468768,1.0,0.0
7,4.875,20,0.0022925,0.001718318,0.0,0.001718318,1.0,0.0
7,4.875,21,0.0008445,0.000634524,0.0,0.000634524,1.0,0.0
7,4.875,22,0.0003105,0.000233174,0.0,0.000233174,1.0,0.0
7,4.875,23,0.0001142,8.57954e-05,0.0,8.57954e-05,1.0,0.0
