seed,adjoint_ww_off,sigma_off,adjoint_ww_on,sigma_on,z
101,1.4419,0.00283881272,1.445,0.0018812454999999999,0.9102720798415959
103,1.442,0.002828483,1.4483,0.00188539694,1.8533390054677104
107,1.4485,0.0028486201,1.4467,0.0018809993400000001,-0.5272996124478899
109,1.4499,0.00285267825,1.4452,0.00187904904,-1.37590519287822
113,1.4482,0.00285396774,1.4473,0.00188192419,-0.26326628877345765
