case,seed,R_F,sigma_F,R_A,sigma_A,z,pass_abs_z_le_3
biased,1,51.99748353750474,0.8579136486467492,49.843,2.461795613,0.8264222589988011,True
unbiased,1,51.99748353750474,0.8579136486467492,50.152,1.5561162560000001,1.0385742685797976,True
