case,seed,R_F,sigma_F,R_A,sigma_A,z,pass_abs_z_le_3
biased,1,0.19396069999999999,0.003200184326440633,49.843,2.461795613,-20.167798288519744,False
unbiased,1,0.19396069999999999,0.003200184326440633,50.152,1.5561162560000001,-32.10424251052604,False
