seed,analog_mean,analog_sigma,analog_time_s,analog_fom,ww_mean,ww_sigma,ww_time_s,ww_fom,z
211,1.4548,0.0028659560000000002,0.26828,960459.9278388016,1.4475,0.00221178,0.5192,824932.8681510933,-2.016476524581892
223,1.4477,0.00284892883,0.26603,970651.5091230422,1.4476,0.00220483956,0.5214,826746.065774249,-0.027758814699472462
227,1.4489,0.00284346625,0.27136,956830.1213184049,1.4491,0.00221321043,0.51918,825721.0238328738,0.0555050399997091
229,1.4465,0.0028542337999999997,0.26856,956349.1103090218,1.4443,0.00221324532,0.52658,808707.2810208054,-0.6091144243617557
233,1.4445,0.0028332423,0.26785,970456.3528178519,1.4444,0.00220574324,0.52492,816905.6984155894,-0.027850329151630424
