density_case,inner_density_ratio,outer_density_ratio,pair,seed,mode,source_cell,response_cell,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,average,relative_error,sigma,tally_sha256,stdout_sha256
low_inner_high_outer,0.5,2.0,g14_to_g15,1,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_1/forward/inp,2cd9998115b34faf6a060bfe29ce8ab57dd06faff27dc2d3a315b3075df7fe87,0,0.1936,0.030914,0.0059849504,084af0086105c673013321f19894b29d5b140276d74486fa70a53fce70987114,7cccaff36fb8b23e464b2ca08caf8d40b2b2acda36d60b7d573d9156c07efc04
low_inner_high_outer,0.5,2.0,g14_to_g15,1,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_1/adjoint/inp,8b12d7c603095b288f74686f446c5a2f9e5ec097856f65f9861b04a7458a33bb,0,0.18144,0.051535,0.0093505104,ab3d55246e9d65315b95ab5c8255c52b33574981c46ae631a844fbd2deacafd5,b7d88bb12ee2bec0cd7a1b030c9733121a311d6f1e24601485fe41f6a973e196
low_inner_high_outer,0.5,2.0,g20_to_g22,1,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_1/forward/inp,3c3441a74afa35beadae6fc5403592f61d21a2725572384450b5599818821545,0,0.18031,0.027532,0.00496429492,1eb5f423ce5c0569a41905cd31677003225b22661839a0219602b6f5f367703f,5fc4b838f2ce7184a950ff5a5db92da77240e95fe694bd7a623780ec873d63bb
low_inner_high_outer,0.5,2.0,g20_to_g22,1,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_1/adjoint/inp,8272de9de16563b358d40127f9515885314623455fbe790c922facda8cbfd394,0,0.17403,0.055173,0.009601757189999999,707dfe0a27ee725bc7b8979633fb22c381a4a3ed9cddd0e3da22e48afa728358,a4980c34da7572f6bf25e697120471446a101634d1bf9791921b34c34962d41f
high_inner_low_outer,2.0,0.5,g14_to_g15,1,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_1/forward/inp,2d02cdd9695c858516c61ef90a0327c1249ef5e4724949d93ed02c4b660305e9,0,0.093003,0.056041,0.005211981123,c48d2c6829f161b41f29bc33a94a6557867e670ea00a2e0e7ebfb259631ea1d8,4eba55c2b6c5beb37128cfa10871d651a9e2dc59c2e99b628e24912513996e19
high_inner_low_outer,2.0,0.5,g14_to_g15,1,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_1/adjoint/inp,f6759f470fdf78200bab24b203283e44009ecdaa35877a05254570c8dd8339c6,0,0.095374,0.049958,0.0047646942920000004,b99181e6d2b487dadbce69fa702c0d031cc23d01993c2e02f3b489362e3c69fa,193ce345fccc5494654d30dffe089db20251db037a4919f9e2c4179ff98a2ec4
high_inner_low_outer,2.0,0.5,g20_to_g22,1,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_1/forward/inp,834b58af022c67b365169c8450bd29dae75226572508f0eb6384a15710ef0b5e,0,0.08313,0.059779,0.0049694282699999995,2138ce3b11a8e7dd8d45b6188734b14bf5f3c6a09772a63d236b9cf7a0bba323,edd40883d67328db7e43d28691b4170188746b435d22b061073169d17195d5e6
high_inner_low_outer,2.0,0.5,g20_to_g22,1,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_1/adjoint/inp,94defeaf8d3cf5358ce7c806e9fa6537949acf1ed300430fc80832e3f38da9fc,0,0.080977,0.045608,0.003693199016,a2e2482a67ff8a353d00f84645bfbd0ecd085cacf302e42627af11ca90f19349,39fffe75b6dbce1600a1e2968624f2d40547575151f3eb65b99a6862c61f7822
