case,seed,mode,source_samples,source_groups,source_weight_mean,source_moments,tally_values,tally_sigmas,exit_code,tally_sha256
unbiased,1,forward,20000,14,1.0,"[{""name"":""forward_source"",""sample_count"":20000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16253999999999999;0.061678999999999998,0.0032108151599999999;0.0017523620689999999,0,d16083ed307421becdd780ab6e2391727af24bbee6dc64dbf58dd49c87efd16e
unbiased,1,adjoint,20000,15;20,536.17,"[{""name"":""cell2_g15"",""sample_count"":7002,""sample_fraction"":0.3501,""observed_weighted_mean"":187.71311699999998,""expected_strength_H"":187.6578011744303,""standard_error"":1.808496589821912,""z"":0.03058663526434404},{""name"":""cell3_g20"",""sample_count"":12998,""sample_fraction"":0.6499,""observed_weighted_mean"":348.45688299999995,""expected_strength_H"":348.5073450382277,""standard_error"":1.808496589821912,""z"":-0.027902755532825507}]",50.152000000000001,1.5561162560000001,0,e88b9d4dec449c9aa7049625ea5f2a86288ee44410c848b5e4642c6057139fe2
biased,1,forward,20000,14,1.0,"[{""name"":""forward_source"",""sample_count"":20000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16253999999999999;0.061678999999999998,0.0032108151599999999;0.0017523620689999999,0,d16083ed307421becdd780ab6e2391727af24bbee6dc64dbf58dd49c87efd16e
biased,1,adjoint,20000,15;20,531.847827,"[{""name"":""cell2_g15"",""sample_count"":1942,""sample_fraction"":0.0971,""observed_weighted_mean"":182.21785999999997,""expected_strength_H"":187.6578011744303,""standard_error"":3.9291355644677393,""z"":-1.3845134852625627},{""name"":""cell3_g20"",""sample_count"":18058,""sample_fraction"":0.9029,""observed_weighted_mean"":349.629967,""expected_strength_H"":348.5073450382277,""standard_error"":0.8107637027756808,""z"":1.3846475340829703}]",49.843000000000004,2.461795613,0,0535e6c30da4cbec3d344fe9034692fd1045f20aef7f2ac50bfe5c5e59789a8c
