density_case,pair,seed,R_F,sigma_F,RE_F,R_A,sigma_A,RE_A,delta,sigma_delta,z,pass_abs_z_le_3
high_inner_low_outer,g14_to_g15,1,0.093003,0.005211981123,0.056041,0.095374,0.0047646942920000004,0.049958,-0.002370999999999998,0.007061661201355225,-0.3357566912931156,True
high_inner_low_outer,g20_to_g22,1,0.08313,0.0049694282699999995,0.059779,0.080977,0.003693199016,0.045608,0.002153000000000002,0.006191521323750614,0.34773360009939974,True
low_inner_high_outer,g14_to_g15,1,0.1936,0.0059849504,0.030914,0.18144,0.0093505104,0.051535,0.012160000000000004,0.011101877139969093,1.095310265704657,True
low_inner_high_outer,g20_to_g22,1,0.18031,0.00496429492,0.027532,0.17403,0.009601757189999999,0.055173,0.006280000000000008,0.01080916116951054,0.5809886541162914,True
